"predicted=19.904740, expected=18.000000"
"predicted=20.842106, expected=20.000000"
"predicted=22.255034, expected=8.000000"
"predicted=11.543122, expected=22.000000"
"predicted=21.751391, expected=27.000000"
"predicted=25.559994, expected=30.000000"
"predicted=28.089655, expected=33.000000"
"predicted=30.516448, expected=26.000000"
"predicted=23.686017, expected=25.000000"
"predicted=24.707326, expected=27.000000"
"predicted=27.111532, expected=33.000000"
"predicted=32.575217, expected=27.000000"
"predicted=27.750883, expected=23.000000"
"predicted=23.466340, expected=29.000000"
"predicted=28.416353, expected=26.000000"
"predicted=26.388768, expected=21.000000"
"predicted=22.718021, expected=26.000000"
"predicted=26.002781, expected=17.000000"
"predicted=18.235487, expected=11.000000"
"predicted=13.784135, expected=28.000000"
"predicted=27.406428, expected=20.000000"
"predicted=20.385064, expected=32.000000"
"predicted=30.600900, expected=32.000000"
"predicted=29.448634, expected=18.000000"
"predicted=17.568710, expected=22.000000"
"predicted=22.660005, expected=18.000000"
"predicted=18.792803, expected=28.000000"
"predicted=28.535064, expected=24.000000"
"predicted=24.822391, expected=26.000000"
"predicted=24.834354, expected=33.000000"
"predicted=31.072029, expected=37.000000"
"predicted=34.296215, expected=26.000000"
"predicted=26.261930, expected=16.000000"
"predicted=17.429582, expected=23.000000"
"predicted=23.695861, expected=24.000000"
"predicted=25.565593, expected=20.000000"
"predicted=22.323355, expected=19.000000"
"predicted=19.779363, expected=19.000000"
"predicted=18.780157, expected=18.000000"
"predicted=18.835152, expected=21.000000"
"predicted=21.311388, expected=51.000000"
"predicted=45.800844, expected=40.000000"
"predicted=36.734607, expected=35.000000"
"predicted=32.428462, expected=21.000000"
"predicted=20.811541, expected=27.000000"
"predicted=27.054045, expected=15.000000"
"predicted=20.470873, expected=21.000000"
"predicted=23.763643, expected=17.000000"
"predicted=19.453212, expected=24.000000"
"predicted=23.632400, expected=18.000000"
"predicted=19.094620, expected=25.000000"
"predicted=23.528888, expected=21.000000"
"predicted=20.931155, expected=30.000000"
"predicted=28.061339, expected=50.000000"
"predicted=45.519365, expected=53.000000"
"predicted=47.632390, expected=62.000000"
"predicted=55.897355, expected=51.000000"
"predicted=46.682773, expected=40.000000"
"predicted=39.173443, expected=22.000000"
"predicted=26.731079, expected=47.000000"
"predicted=48.058994, expected=65.000000"
"predicted=64.056600, expected=47.000000"
"predicted=47.289204, expected=47.000000"
"predicted=45.282242, expected=41.000000"
"predicted=38.986122, expected=39.000000"
"predicted=40.890875, expected=44.000000"
"predicted=46.699838, expected=33.000000"
"predicted=35.315602, expected=36.000000"
"predicted=37.506929, expected=19.000000"
"predicted=22.615494, expected=13.000000"
"predicted=17.338820, expected=14.000000"
"predicted=18.426818, expected=12.000000"
"predicted=15.446130, expected=12.000000"
"predicted=15.195569, expected=14.000000"
"predicted=14.571990, expected=14.000000"
"predicted=13.872871, expected=19.000000"
"predicted=18.089324, expected=17.000000"
"predicted=16.225712, expected=29.000000"
"predicted=26.261421, expected=24.000000"
"predicted=22.469070, expected=15.000000"
"predicted=15.059158, expected=17.000000"
"predicted=17.267777, expected=24.000000"
"predicted=23.272649, expected=39.000000"
"predicted=37.091679, expected=14.000000"
"predicted=15.455988, expected=29.000000"
"predicted=26.689482, expected=23.000000"
"predicted=22.459851, expected=7.000000"
"predicted=10.307975, expected=20.000000"
"predicted=22.043874, expected=21.000000"
"predicted=20.435941, expected=27.000000"
"predicted=26.997702, expected=20.000000"
"predicted=19.979992, expected=16.000000"
"predicted=15.069765, expected=31.000000"
"predicted=29.173933, expected=18.000000"
"predicted=18.817173, expected=11.000000"
"predicted=13.329476, expected=9.000000"
"predicted=10.674498, expected=14.000000"
"predicted=14.816238, expected=15.000000"
"predicted=17.049257, expected=15.000000"
"predicted=15.206099, expected=14.000000"
"predicted=13.465086, expected=14.000000"
"predicted=13.390922, expected=10.000000"
"predicted=10.712972, expected=15.000000"
"predicted=14.953304, expected=17.000000"
"predicted=16.632098, expected=18.000000"
"predicted=17.336738, expected=21.000000"
"predicted=19.715504, expected=21.000000"
"predicted=19.434618, expected=29.000000"
"predicted=26.768847, expected=21.000000"
"predicted=20.479611, expected=20.000000"
"predicted=19.790816, expected=14.000000"
"predicted=15.202453, expected=17.000000"
"predicted=17.894195, expected=16.000000"
"predicted=17.794576, expected=18.000000"
"predicted=18.406008, expected=22.000000"
"predicted=21.430833, expected=16.000000"
"predicted=15.842919, expected=22.000000"
"predicted=21.108333, expected=19.000000"
"predicted=18.643673, expected=27.000000"
"predicted=25.617518, expected=21.000000"
"predicted=21.013434, expected=33.000000"
"predicted=30.376183, expected=30.000000"
"predicted=28.677180, expected=25.000000"
"predicted=24.353293, expected=20.000000"
"predicted=20.974882, expected=19.000000"
"predicted=19.776975, expected=15.000000"
"predicted=17.797199, expected=28.000000"
"predicted=28.003434, expected=24.000000"
"predicted=24.024910, expected=21.000000"
"predicted=20.798259, expected=29.000000"
"predicted=27.216308, expected=28.000000"
"predicted=26.417027, expected=22.000000"
"predicted=22.848533, expected=24.000000"
"predicted=23.890587, expected=37.000000"
"predicted=34.629010, expected=26.000000"
"predicted=26.534036, expected=27.000000"
"predicted=26.915196, expected=22.000000"
"predicted=22.174664, expected=23.000000"
"predicted=23.601643, expected=37.000000"
"predicted=36.470846, expected=34.000000"
"predicted=32.780083, expected=30.000000"
"predicted=29.355455, expected=29.000000"
"predicted=27.968117, expected=25.000000"
"predicted=25.242658, expected=29.000000"
"predicted=30.123373, expected=30.000000"
"predicted=30.487927, expected=53.000000"
"predicted=49.056072, expected=62.000000"
"predicted=56.517607, expected=49.000000"
"predicted=45.401536, expected=39.000000"
"predicted=37.565111, expected=25.000000"
"predicted=26.821921, expected=8.000000"
"predicted=15.660978, expected=3.000000"
"predicted=11.985309, expected=8.000000"
"predicted=14.139790, expected=28.000000"
"predicted=29.088532, expected=44.000000"
"predicted=40.245387, expected=21.000000"
"predicted=18.889175, expected=6.000000"
"predicted=5.791905, expected=23.000000"
"predicted=21.282217, expected=14.000000"
"predicted=16.882301, expected=22.000000"
"predicted=24.574471, expected=39.000000"
"predicted=35.468874, expected=30.000000"
"predicted=26.814818, expected=17.000000"
"predicted=17.732279, expected=20.000000"
"predicted=19.341356, expected=18.000000"
"predicted=19.274970, expected=18.000000"
"predicted=21.033822, expected=23.000000"
"predicted=23.625509, expected=26.000000"
"predicted=24.636047, expected=30.000000"
"predicted=28.287034, expected=27.000000"
"predicted=25.579118, expected=26.000000"
"predicted=24.905384, expected=36.000000"
"predicted=33.956224, expected=27.000000"
"predicted=27.047115, expected=18.000000"
"predicted=19.885768, expected=31.000000"
"predicted=30.250322, expected=38.000000"
"predicted=36.365213, expected=32.000000"
"predicted=32.338829, expected=29.000000"
"predicted=28.399857, expected=15.000000"
"predicted=16.074758, expected=3.000000"
"predicted=7.847055, expected=9.000000"
"predicted=13.424216, expected=8.000000"
"predicted=11.746005, expected=7.000000"
"predicted=10.021744, expected=7.000000"
"predicted=7.860455, expected=11.000000"
"predicted=9.900631, expected=8.000000"
"predicted=8.140854, expected=8.000000"
"predicted=7.963229, expected=4.000000"
"predicted=4.516485, expected=6.000000"
"predicted=6.288798, expected=4.000000"
"predicted=5.031090, expected=2.000000"
"predicted=2.972251, expected=1.000000"
"predicted=1.991697, expected=2.000000"
"predicted=2.383962, expected=6.000000"
"predicted=5.895228, expected=5.000000"
"predicted=4.767768, expected=6.000000"
"predicted=5.312113, expected=1.000000"
"predicted=1.074983, expected=7.000000"
"predicted=6.297957, expected=3.000000"
"predicted=3.473806, expected=1.000000"
"predicted=1.684107, expected=4.000000"
"predicted=4.129900, expected=6.000000"
"predicted=5.390285, expected=3.000000"
"predicted=3.512851, expected=4.000000"
"predicted=3.763598, expected=12.000000"
"predicted=10.285090, expected=19.000000"
"predicted=16.600466, expected=6.000000"
"predicted=5.974465, expected=16.000000"
"predicted=13.890945, expected=12.000000"
"predicted=11.040341, expected=9.000000"
"predicted=9.735341, expected=9.000000"
"predicted=10.159707, expected=17.000000"
"predicted=15.524920, expected=14.000000"
"predicted=14.189650, expected=17.000000"
"predicted=16.065004, expected=1.000000"
"predicted=2.418782, expected=6.000000"
"predicted=6.734298, expected=13.000000"
"predicted=13.494435, expected=13.000000"
"predicted=13.233163, expected=23.000000"
"predicted=21.387297, expected=13.000000"
"predicted=11.328775, expected=17.000000"
"predicted=15.452953, expected=15.000000"
"predicted=14.712370, expected=19.000000"
"predicted=18.350582, expected=12.000000"
"predicted=13.469173, expected=12.000000"
"predicted=12.303557, expected=12.000000"
"predicted=12.744003, expected=16.000000"
"predicted=15.941940, expected=11.000000"
"predicted=12.071279, expected=4.000000"
"predicted=5.340559, expected=4.000000"
"predicted=5.301111, expected=4.000000"
"predicted=5.428472, expected=6.000000"
"predicted=7.399857, expected=6.000000"
"predicted=6.548366, expected=10.000000"
"predicted=9.001103, expected=2.000000"
"predicted=2.383629, expected=18.000000"
"predicted=15.691892, expected=16.000000"
"predicted=14.412633, expected=23.000000"
"predicted=20.325687, expected=25.000000"
"predicted=22.309301, expected=14.000000"
"predicted=12.729970, expected=10.000000"
"predicted=11.259634, expected=6.000000"
"predicted=7.907739, expected=9.000000"
"predicted=11.290372, expected=7.000000"
"predicted=9.508724, expected=9.000000"
"predicted=9.634716, expected=9.000000"
"predicted=9.020657, expected=8.000000"
"predicted=7.789627, expected=16.000000"
"predicted=14.740695, expected=14.000000"
"predicted=12.961159, expected=8.000000"
"predicted=8.200827, expected=5.000000"
"predicted=5.645498, expected=1.000000"
"predicted=2.450139, expected=5.000000"
"predicted=6.659552, expected=5.000000"
"predicted=6.226458, expected=5.000000"
"predicted=5.363020, expected=1.000000"
"predicted=1.533565, expected=9.000000"
"predicted=7.794622, expected=7.000000"
"predicted=6.694331, expected=14.000000"
"predicted=12.482580, expected=13.000000"
"predicted=11.587728, expected=13.000000"
"predicted=11.350791, expected=17.000000"
"predicted=15.619962, expected=7.000000"
"predicted=7.333236, expected=11.000000"
"predicted=11.411635, expected=13.000000"
"predicted=12.996909, expected=9.000000"
"predicted=9.804496, expected=5.000000"
"predicted=6.602475, expected=9.000000"
"predicted=8.797833, expected=3.000000"
"predicted=4.403961, expected=9.000000"
"predicted=9.440281, expected=7.000000"
"predicted=7.201189, expected=3.000000"
"predicted=3.486430, expected=5.000000"
"predicted=5.417689, expected=4.000000"
"predicted=4.064539, expected=16.000000"
"predicted=14.694671, expected=18.000000"
"predicted=16.069490, expected=23.000000"
"predicted=19.804915, expected=24.000000"
"predicted=20.915286, expected=30.000000"
"predicted=26.211102, expected=30.000000"
